Date,Open,High,Low,Close,Volume_BTC,Volume_Currency,WeightedPrice
2/25/14,173.2,173.84343,101.62872,135,29886.75324,3667985.396,122.7294704
2/24/14,314.99996,316.78999,131.72093,173.871,94594.02259,17590531.01,185.9581666
2/23/14,260.70495,348.98,220.1,309.99971,38395.10376,11051773.35,287.8432996
2/22/14,111,290.52557,96.6345,255.53,71861.28802,11632970.19,161.8809028
2/21/14,111.61995,160,91.5,111.4,82102.92955,9798282.702,119.3414505
2/20/14,264.328,271.43,109,111.697,101724.1715,16298837.38,160.2258061
2/19/14,293.6,308.49,257.10001,261.37833,31104.86747,8336909.843,268.0258918
2/18/14,280,370,248.14826,293.8,48454.96196,13829969.71,285.4190602
2/17/14,299.72277,411,263.101,272,51184.48761,16346874.53,319.3716552
2/16/14,371,540,220.29327,299.72277,86061.34539,26181409.74,304.2179927
2/15/14,427.52,447.87999,310,371,50382.78483,18126549.12,359.7766415
2/14/14,451.121,499.89,302,427.52,65440.57538,24812117.2,379.1549365
2/13/14,540.03697,549,451.1,451.17,28603.73451,14149784.32,494.6831092
2/12/14,578,585,511.77,531,20943.57214,11359447.4,542.3834732
2/11/14,582.54,609.4949,550,578.78,16337.05107,9326077.007,570.8543708
2/10/14,663.29499,700,500,582.54,39694.4757,24006451.29,604.7806619
2/9/14,658.81324,693.99999,622.4189,659.49776,19589.18586,12910231.22,659.048891
2/8/14,685.22,719.24999,632.01101,648.71427,22512.95103,15206971.62,675.4766001
2/7/14,827,833.14499,651.70976,695.61818,49457.28113,36058821.97,729.0902602
2/6/14,904.70001,909,801,828.99999,18128.68003,15330817.41,845.6665011
2/5/14,926.97999,939.93,890.1731,904.67,7160.250595,6528503.206,911.7702124
2/4/14,933.85401,949.457,901.0321,926.97999,4188.174041,3888307.868,928.4016926
2/3/14,954,960,932.05,932.05,2423.291072,2283360.989,942.25618
2/2/14,949.46534,960,935.0001,954,1458.549443,1379138.931,945.555146
2/1/14,949.98,969.3999,928,940.6,4055.922076,3850636.096,949.3861134
1/31/14,942.10001,955.183,925,939.27508,3852.391411,3633672.173,943.2250738
1/30/14,931.99954,953.97898,910.11,942.10001,5072.142661,4727314.299,932.0152478
1/29/14,933.5,950.99999,919.3,926.13124,5339.102629,4967492.729,930.3984349
1/28/14,944,973,912.02001,933.00003,10017.57121,9431740.02,941.5196382
1/27/14,1007.09456,1022,937.67,944,7932.195892,7715077.063,972.628156
1/26/14,963.93,1038.15894,950.73,1007.09456,12962.00879,12955209.15,999.4754175
1/25/14,924.97987,978.6,916.01,961.23871,7830.782103,7495981.703,957.2455987
1/24/14,943.50294,950,903.4,917.05879,5810.187869,5354994.033,921.6559177
1/23/14,951.00001,958.99999,937.12135,945,1562.13261,1481268.011,948.2344846
1/22/14,970.57947,974,935,951,4322.793596,4103109.166,949.1799863
1/21/14,959.49999,974.4,943.32,962.36655,5988.516092,5766197.517,962.8758492
1/20/14,954.99999,980.59324,926,956.00002,10274.06271,9858099.845,959.5133034
1/19/14,906,958.24,902.01,954.995,7460.046405,6969555.381,934.250942
1/18/14,894.9191,925,885,906.005,5755.520092,5247377.785,911.7121827
1/17/14,914,930,867.43,894.4,9858.976281,8822154.678,894.8347603
1/16/14,948.995,956.06,911.01001,914,4702.797767,4367877.778,928.7828213
1/15/14,920,973.2,915.15,941.31001,6443.141161,6109243.934,948.1778811
1/14/14,925.9,943,905,920,3891.444405,3591968.036,923.0423622
1/13/14,940,949.47573,880.11,923.1001,9667.139571,8815713.472,911.9257467
1/12/14,1005.50001,1022.99,922.3,940,9818.817536,9515044.43,969.0621498
1/11/14,957.573,1011,935.13,1005.5,10919.52728,10706210.18,980.464621
1/10/14,935,964.99,906,957.89998,6000.451741,5605099.465,934.1129147
1/9/14,933.015,964.69663,866.58247,937,14051.53781,12889230.7,917.2825688
1/8/14,884,966.9963,859,939,13749.64301,12643822.27,919.5745857
1/7/14,1012.88,1044.2,880,880,22263.97522,21388990.09,960.6995105
1/6/14,1015,1093.68199,965,1012.89899,22630.16583,23190399.38,1024.756051
1/5/14,929.89997,1029.98765,911.58,1015,21223.74942,20650812.94,973.0049358
1/4/14,884.88299,932.37989,848.47873,924.92499,13956.51339,12544052.76,898.7955951
1/3/14,859,888.8,840,884.888,9294.225266,8061998.998,867.4202278
1/2/14,812.58795,886.31309,810.5601,857,12414.26877,10505152.34,846.2159578
1/1/14,806.01002,830,771,815.995,10688.03049,8607372.978,805.3282583
12/31/13,804.87492,813.99999,777,806.00503,8836.732475,7037218.269,796.3597731
12/30/13,789.995,818.888,781,804.87996,10027.39363,8054469.042,803.2465204
12/29/13,767,804,735,785.00501,6940.142312,5370367.597,773.8123162
12/28/13,803.23,806,715.6,762.005,13149.18308,9976713.281,758.7325554
12/27/13,807,837,768,803.23,13466.88486,10752491.64,798.4394122
12/26/13,707.3,829.8,707.3,802.11,23193.33699,17954026.6,774.1027782
12/25/13,696.86,710,674,707.3,5270.695376,3669393.684,696.1877745
12/24/13,716.99999,729.99174,666.01,702.8,10677.1452,7460474.084,698.733036
12/23/13,639.47998,725,631.00001,713.34506,14666.89539,9934026.93,677.3094555
12/22/13,636.09001,700,615,639.48,11501.32969,7603966.926,661.138071
12/21/13,649.393,689.99,610,640.5,14441.48449,9356525.821,647.892246
12/20/13,730,774.47,621.25001,650,34364.26944,23999605.66,698.3883566
12/19/13,541.21,746,522.44,731.98999,45305.8052,29663995.69,654.7504357
12/18/13,715,717.015,455,541.00001,109722.8938,62048984.58,565.5062715
12/17/13,760,780,678.8904,715,31284.06273,22608843.58,722.6952514
12/16/13,916,925,714.11,760,40795.65224,32476301.78,796.0726204
12/15/13,900.005,928,838.0201,920,15038.57266,13186844.81,876.8681115
12/14/13,943.39623,948,875.13535,908.98998,11406.79435,10359533.49,908.1897306
12/13/13,899.9999,990,882.15864,936.87547,17088.91599,15910804.5,931.059905
12/12/13,908.00003,941,839.5,899.9999,9649.928262,8553071.81,886.3352741
12/11/13,1026.00001,1056.9,856.123,920,23949.51154,22661100.57,946.203038
12/10/13,915.935,1067.99999,912,1033.975,21706.67003,21340424.33,983.1275041
12/9/13,810.98,980.17661,787.75,918.99,27226.99538,24179362.99,888.0657838
12/8/13,693.25256,829,653.0001,804.00001,31105.77588,22961371.65,738.1706773
12/7/13,846,895.89,576,696.99999,97325.90791,70458455.47,723.9434698
12/6/13,1106.899,1118.989,800,845,53161.11052,50399613.13,948.0541816
12/5/13,1230.005,1240,870.001,1106.4345,57982.862,61804648.25,1065.912342
12/4/13,1155,1240,1131.72718,1237.955,15885.30988,18947255.39,1192.753276
12/3/13,1099.9,1185.77338,1065,1155,18945.15996,21435545.47,1131.452335
12/2/13,1005,1117.79999,975,1096.63251,36675.47447,38845192.51,1059.159917
12/1/13,1206.00001,1216.9,840.32,1004.42392,79772.69712,83086786.68,1041.544158
11/30/13,1205,1233,1150.25,1205.8,14782.95933,17886454.2,1209.93732
11/29/13,1101.42,1242,1050,1206.97761,38295.19566,44555938.94,1163.48639
11/28/13,1087.94315,1224.59998,1032.15,1101.47497,37215.1226,42727152.2,1148.112628
11/27/13,970,1094.794,914.31556,1080,37306.24063,37321053.75,1000.397068
11/26/13,829.995,975,825.1,970,31183.07759,27905311.15,894.8863713
11/25/13,795.00166,850,758.95852,830,25978.2948,21099945.05,812.214397
11/24/13,839.99,855,745.2,795,25843.72792,20686216.59,800.4346993
11/23/13,802,889.99999,799.60484,832.524,20952.75768,17609317.85,840.4296046
11/22/13,768.99999,821.999,682.3,802,29655.73148,22307022.39,752.199365
11/21/13,630.12001,784.4444,595.21,765.10001,38191.56706,26748978.88,700.3896655
11/20/13,643.00001,650,453.29,638,91019.96582,50391282.67,553.6288902
11/19/13,785.50007,900.97998,502.6212,645.71675,98637.13462,68768815.23,697.1899122
11/18/13,528,788,522,785.50007,71436.41688,45079283.98,631.0406645
11/17/13,458.95149,536.777,457,528.31991,26509.66402,13242526.69,499.5358175
11/16/13,434,477,428.01172,461.9999,18664.14097,8527635.054,456.8994129
11/15/13,433.4,458,413.05,434,27269.09084,11898612.6,436.340642
11/14/13,434.87499,447.49999,402.54,433.4,30773.27927,13184591.73,428.4428582
11/13/13,380.25003,445,372.183,434.87999,35274.27163,14480339.54,410.5071167
11/12/13,362.99999,391.52574,359.02,380.1,21029.6532,7937468.748,377.4417329
11/11/13,341.0302,376,321.41,363,17785.25135,6255033.51,351.6977853
11/10/13,365.12,372.5,290,336.33101,74095.67957,24174067.08,326.2547455
11/9/13,355.06361,395,340,367.8,49272.46208,18199556.28,369.3656762
11/8/13,309.99999,358,308.01001,355,43831.60922,14805767.39,337.7874472
11/7/13,264.11,324.198,263.60001,309.659,85178.59305,25293726.93,296.9493394
11/6/13,251.4134,272.52,251.4134,264.1,37807.24482,9944331.956,263.0271527
11/5/13,238.19039,258.87626,229,251.3,44067.25979,10833235.33,245.8341042
11/4/13,224.7,239.02,222,238.19039,16899.8367,3895904.689,230.5291322
11/3/13,212.2,226.959,212.105,224.01001,12032.84387,2641482.544,219.522714
11/2/13,213.50003,214.87996,211.02,211.70001,4375.232654,932092.2481,213.0383277
11/1/13,211.20177,215,209.76,213.5,4884.450104,1039764.668,212.8724106
10/31/13,206,215,205.43565,211.1714,4608.292561,976625.5815,211.9278602
10/30/13,215.502,216.5,204,208,12582.46658,2654807.099,210.9925809
10/29/13,207.5,216.5,204.20001,216,8958.387317,1892602.509,211.2659838
10/28/13,207.5,209.79,200.42,206.9,10041.15872,2072651.321,206.415552
10/27/13,189.92363,207.9,189,207.0001,12904.93484,2578681.551,199.8213539
10/26/13,197.19879,198.42679,187,188.56002,11593.22707,2227101.451,192.1036686
10/25/13,206.985,209,176.60399,197.90999,35744.03756,6740413.022,188.5744723
10/24/13,227.99997,233.4,175.30001,206.995,95972.97322,19489369.74,203.0714386
10/23/13,203.99829,228,200.75,228,38958.6582,8332514.783,213.8809489
10/22/13,192.795,205.5,192.795,203,32953.98591,6582493.646,199.7480264
10/21/13,186.12,197.39005,183.2,192.795,22991.33055,4406343.308,191.6523838
10/20/13,180.80004,186.12,177.25,186.12,11174.87165,2043935.171,182.9045769
10/19/13,168.2,195.83267,167.1,183.17999,54485.20004,9865972.877,181.0761981
10/18/13,158.25323,168.3,156.5,168.3,24861.1112,4061489.244,163.3671645
10/17/13,151.645,159.95,150.75471,157.60001,15093.84671,2350949.122,155.7554656
10/16/13,158.1,163,144.20004,152.83,41433.57691,6434985.714,155.3084767
10/15/13,150.6295,158.1,150.628,158.1,14282.45188,2204254.585,154.3330657
10/14/13,147.53,153.69902,146.03267,151.38003,29438.9304,4432598.322,150.5692721
10/13/13,142.61096,147.65,141.50021,147.53,15998.5149,2317585.062,144.8625123
10/12/13,141.7929,143.0571,139.4,142.89995,10622.02692,1504393.702,141.6296262
10/11/13,141.41,141.85,138.87001,140.1,6280.511107,883230.5178,140.6303568
10/10/13,139.42001,141.69,138.51,140.41013,10157.63852,1428027.915,140.5866051
10/9/13,136.50998,142.1,135.8,139.5,16615.17521,2314148.325,139.2792009
10/8/13,136.82274,137.79499,135.66,136.50002,4157.410195,568230.6651,136.6789993
10/7/13,137.01002,139,135.12,135.80001,6405.776737,878670.9871,137.1685313
10/6/13,136.73026,138,134.1,137.8,4660.127785,634030.996,136.0544228
10/5/13,136.82222,138,135.3,136.69511,4479.667196,611381.9782,136.4793301
10/4/13,130.97902,139.8,128.5,136.82222,17710.24527,2387682.763,134.819294
10/3/13,123,132,120.1,130.98925,34445.5677,4386579.601,127.3481581
10/2/13,140.30001,141.92999,109.7,123,110147.6396,13742025.51,124.7600544
10/1/13,143.28122,144.44,139.41,140.3,7709.567747,1092164.832,141.6635625
9/30/13,143.89402,145.81,138.12,141.8965,12845.11957,1825855.165,142.1438824
9/29/13,142.49,145.81,141.36005,143.88402,17790.59946,2567567.39,144.3215782
9/28/13,138.93,143,138.02021,142.5,12989.27676,1827958.476,140.7282722
9/27/13,135.85005,142.66,134.82811,138.93,25900.19083,3593626.813,138.7490477
9/26/13,135.00135,139,134.71,137.10002,5222.838037,712709.6508,136.4602244
9/25/13,134.77898,138,134.7,135,8243.78504,1122963.753,136.2194365
9/24/13,133.4,136.59141,132.5,134.7788,6929.87038,932097.5185,134.5043222
9/23/13,134.9,135,132,133.4,4464.4934,596235.6962,133.550583
9/22/13,134.33795,135,131,134.00001,5570.740426,739648.9026,132.7738947
9/21/13,133.80726,135.99,132,134.38,4441.247532,594385.9852,133.8331136
9/20/13,135.89477,137.28,131,133.80726,9923.670715,1334825.547,134.5092543
9/19/13,140.41234,141.2,131.14,135.05037,19769.44641,2695293.887,136.3363359
9/18/13,139.15002,142,139.01001,140.41238,8189.608212,1148501.391,140.2388687
9/17/13,139.01,141.37,138,139.15001,8242.270033,1149306.122,139.4404839
9/16/13,138.4,142.23,137.9,139.41938,9267.735646,1295814.542,139.8199724
9/15/13,136.71627,141,135.04,138.3002,6197.923296,852533.9226,137.5515446
9/14/13,140.66,142,136.5,136.7149,8361.595164,1162873.314,139.0731423
9/13/13,138.37013,145.60414,137.82,140.66,18892.27352,2701141.017,142.9759639
9/12/13,142.1,145.51679,137.51,139.35499,19360.47991,2726354.358,140.820598
9/11/13,132.61636,145.9,127.5,142.1,40468.7775,5561047.264,137.4157464
9/10/13,133.1,136.02,131.375,132.61636,7833.100061,1046934.168,133.6551506
9/9/13,126.31502,137.48007,124,133.1,28172.62105,3713063.369,131.7968734
9/8/13,128.5,129.86999,124.06,126.31501,7127.432013,898013.7265,125.9940081
9/7/13,122.41,131.02499,121.25,128.99496,13551.30086,1711444.135,126.2937155
9/6/13,131.65,133.99999,121.9,121.9,18159.81755,2306510.214,127.0117504
9/5/13,132.51,137.97,127.24164,130.20002,25687.395,3388171.054,131.9001423
9/4/13,144,145.8,130.08998,132.51,27617.95712,3789771.816,137.2212941
9/3/13,144,148.90893,142.2,144,15761.46935,2289067.062,145.2318315
9/2/13,146.01005,148.5,142.11,144,10444.51454,1515953.554,145.1435151
9/1/13,141,147.29,141,146.01003,13933.37847,2012831.97,144.4611567
8/31/13,138.03002,148.7,135.89,141,30617.80027,4379539.855,143.0390105
8/30/13,129.30033,142.76173,128.56,138.03002,44989.7539,6130666.312,136.2680562
8/29/13,128.57206,131.2,128.18,129.30034,7362.924372,950327.4214,129.0692901
8/28/13,130.20501,131.72442,128.02,128.76,11556.08808,1498911.327,129.7075029
8/27/13,120.1,133,120,131.295,52815.73044,6753064.349,127.8608531
8/26/13,122.111,122.96996,119.91611,120.07,10115.27557,1226894.276,121.2912359
8/25/13,119.60255,122.99,119.14,122.11102,7101.524811,864221.2902,121.695173
8/24/13,118.51003,121.39,118.02,119.60255,8370.820504,1001638.16,119.658301
8/23/13,121.99993,122,118.444,118.51002,18231.25162,2180668.6,119.6115684
8/22/13,123.13496,124.49,120.54,121.99994,12815.38869,1563933.744,122.0356075
8/21/13,121.20003,125,119.68162,123.30002,29616.9149,3637947.82,122.8334495
8/20/13,119,123.01111,116.817,121.20001,23213.85888,2803868.529,120.7842498
8/19/13,113.395,123.74518,111.771,118.50203,51420.13492,6088398.469,118.4049493
8/18/13,112.76,114.69,112,113.38,9324.880507,1059845.23,113.6577813
8/17/13,108.99499,114,108.225,112.75,12258.65847,1373044.649,112.0061099
8/16/13,109.10523,112.3,108.21,108.99438,12567.47612,1378751.984,109.7079454
8/15/13,112.56206,113.321,108.78,109.99497,14794.82106,1643457.672,111.0833085
8/14/13,109.42519,115,108,112.56205,49406.67953,5567652.074,112.6902704
8/13/13,106.98999,109.64,104.5,109.6,17808.46729,1912320.248,107.3826409
8/12/13,105,108.121,103.5,106.81349,19141.59539,2030771.27,106.0920591
8/11/13,102.99999,105.19,102.7,105,7870.901289,820721.7212,104.2729023
8/10/13,102.38002,103.89999,102.38001,102.99999,3411.33361,351636.3703,103.0788573
8/9/13,103.07,105.78999,101.935,102.8,10979.38699,1133150.526,103.207085
8/8/13,105.98992,106.65,100.95969,103.05,23221.28619,2397802.03,103.258795
8/7/13,106.5564,106.96,105.22,105.98993,6791.445103,719935.2242,106.0061906
8/6/13,106.22002,107.5,105.11111,106.55641,12234.56543,1301008.132,106.3387285
8/5/13,105.12,107.77,105,106.72001,14507.93054,1543737.668,106.4064694
8/4/13,104.9,106,103.50108,105.12,6101.207154,639772.2733,104.8599494
8/3/13,104.6,105.8852,102,104.95,8342.918976,866021.1784,103.803139
8/2/13,104.62049,108,101.21111,104.50102,26584.84983,2793208.559,105.0676824
8/1/13,106.22691,108,103,104,13994.49187,1473502.398,105.291597
7/31/13,107.26367,111.65202,103.55,106.21188,44785.59509,4838033.798,108.0265605
7/30/13,101.21001,107.99,100.47,107.96,26911.7737,2793637.017,103.8072424
7/29/13,98.78009,102.85,98.45,101.484,23930.02364,2412405.737,100.810838
7/28/13,94.2,100.5771,94,98.78002,42022.3744,4137932.555,98.46974652
7/27/13,96.02015,97,93,94.4,14637.47906,1383243.821,94.50014005
7/26/13,96.99997,97.476,96,96.02015,10435.79599,1004832.576,96.28710421
7/25/13,95.09,97.4767,93.57,96.95,21666.37017,2086771.462,96.31384703
7/24/13,95.61155,95.99,92.3,95.08999,13827.20396,1304035.345,94.30940261
7/23/13,91.601,97.13124,91.60001,95.55851,23790.4207,2251574.549,94.6420653
7/22/13,91.98,92,89.8,91.601,8215.90226,751344.1211,91.44998289
7/21/13,89.94998,92,88,91.998,8614.051869,769333.6816,89.3114754
7/20/13,92,93.10072,89.27,89.82138,9066.004585,829452.9614,91.49046348
7/19/13,90.08,95.2001,87.6,92,26957.54733,2474448.151,91.79055206
7/18/13,98.50002,98.8,86.2,90.06889,58919.25204,5358091.048,90.93956327
7/17/13,96.97,100,96.18,98.50001,16680.42436,1642097.597,98.44459359
7/16/13,98.89999,100.7319,96,97.1,15900.42628,1560692.697,98.15414187
7/15/13,94.33999,101.94,93.11,98.89028,34121.74219,3366165.019,98.65161636
7/14/13,98.32,99,92.86,94.41986,12218.46731,1171458.484,95.87605836
7/13/13,93.98994,98.32,87.76404,98.32,34261.15175,3186590.738,93.00886206
7/12/13,88.97901,104.17188,88,93.98994,101213.4532,9759561.484,96.42553608
7/11/13,87.94636,90.7,85.00001,88.97901,35244.00912,3084484.635,87.51798426
7/10/13,76.7,89.84,75.53,88,59672.70817,4916740.89,82.39513574
7/9/13,76.00101,78.3,72.51,76.7,32217.3971,2437106.044,75.64565309
7/8/13,76.5,80,72.46,76.00003,58514.64135,4503253.452,76.95943013
7/7/13,69.66206,77,66.60001,76.5,42847.01818,3032307.789,70.77056743
7/6/13,68.88997,74.99997,66.8119,69.655,40793.42138,2866037.15,70.2573369
7/5/13,80.04214,80.60299,65.42448,68.50001,90767.53084,6454413.418,71.10927617
7/4/13,78.20001,84.27001,72,80.03565,63440.37084,4966499.639,78.28610668
7/3/13,90.04007,91.2,76,78.89,73017.06372,6073317.692,83.17669025
7/2/13,88.04,92.57,87.51,90.40502,27396.38243,2466507.428,90.03040581
